id,title,artist,genre,mood,instrument,theme,occasion,language,era,audience,tempo,summary,youtube_url
CevxZvSJLk8,Roar,Katy Perry,Pop music,Empowering,"Singing, Drum kit, Bass drum, Snare drum","Independence, Strength, Overcoming challenges","Motivational moments, Celebrations",English,,"General audience, Children, Young adults",90.72580645 BPM,The song 'Roar' is an empowering anthem about finding one's voice and strength after facing challenges. Its upbeat tempo and catchy melody make it a favorite for motivational moments and celebrations.,https://www.youtube.com/watch?v=CevxZvSJLk8
0KSOMA3QBU0,Dark Horse,Katy Perry,Pop music,Exciting,"Singing, Sampler, Synthesizer",,,English,2010s,,130.8139535,"The song reflects a nostalgic vibe, with listeners expressing their continued love and addiction to it over the years. It features a blend of pop and hip hop elements, highlighted by engaging instrumentation and a catchy beat.",https://www.youtube.com/watch?v=0KSOMA3QBU0
fRh_vgS2dFE,Sorry,Justin Bieber,Rhythm and blues,Energetic,"Drum and bass, Singing, Sampler, Keyboard (musical), Synthesizer","Apology, Regret","Party, Dance",English,2010s,"Young adults, Fans of pop and R&B",133.93 BPM,"A catchy and energetic song that blends elements of rhythm and blues with danceable beats, featuring themes of apology and regret, accompanied by iconic choreography.",https://www.youtube.com/watch?v=fRh_vgS2dFE
2Vv-BfVoq4g,Perfect,Ed Sheeran,Pop music,Romantic,"Guitar, Singing","Love, Relationships","Weddings, Romantic Moments",English,,"Couples, Romantic Individuals",95.33898305,"A heartfelt romantic ballad that resonates with themes of love and relationships, often associated with weddings and cherished moments.",https://www.youtube.com/watch?v=2Vv-BfVoq4g
lp-EO5I60KA,Thinking Out Loud,Ed Sheeran,Soul music,Tender,"Guitar, Singing, Acoustic guitar","Love, Dance, Memories","Weddings, Celebrations",English,2010s,"General public, Couples",156.25 BPM,"A heartfelt love song that showcases Ed Sheeran's vocal and dancing abilities, often associated with weddings and romantic moments.",https://www.youtube.com/watch?v=lp-EO5I60KA
aJOTlE1K90k,Girls Like You,Maroon 5 ft. Cardi B,Pop music,Exciting,"Guitar, Bass guitar, Synthesizer, Keyboard (musical), Electric guitar","Empowerment, Celebration of women","Celebration, Music video viewing",English,2010s,"General public, Fans of Maroon 5 and featured artists",125 BPM,"A vibrant and empowering music video featuring numerous female celebrities, celebrating women and their strength, set to a catchy pop tune.",https://www.youtube.com/watch?v=aJOTlE1K90k
RBumgq5yVrA,Let Her Go,Passenger,Independent music,Tender,"Acoustic guitar, Singing","Loss, Heartbreak",,English,,,152.027027,"The song reflects on themes of loss and heartbreak, resonating deeply with listeners across generations. It evokes a tender mood, often associated with memories of loved ones and moments of solitude.",https://www.youtube.com/watch?v=RBumgq5yVrA
60ItHLz5WEA,Faded,Alan Walker,Electronic music,Nostalgic,"Piano, Synthesizer, Guitar","Memories, Childhood","Listening for enjoyment, Reminiscing",English,2010s,Fans of electronic and pop music,90.72580645,"A nostalgic electronic track that evokes memories of childhood and has remained popular over the years, often associated with feelings of longing and reminiscence.",https://www.youtube.com/watch?v=60ItHLz5WEA
YqeW9_5kURI,Lean On,Major Lazer & DJ Snake,"Electronic music, Dance music","Nostalgic, Uplifting","Singing, Drum and bass, Keyboard, Synthesizer, Electric piano, Guitar, Piano","Memories, Celebration","Summer, Parties",English,2010s,"Young adults, Fans of electronic music",98.68421053 BPM,"A nostalgic electronic dance track that evokes memories of carefree times, often associated with summer and celebrations.",https://www.youtube.com/watch?v=YqeW9_5kURI
NUsoVlDFqZg,Bailando,Enrique Iglesias,Reggae,Celebratory,Guitar,Love and Dance,Parties and Celebrations,Spanish,2010s,Young Adults,181.4516129,"A vibrant and catchy song that celebrates love and dance, resonating with audiences across different cultures and languages.",https://www.youtube.com/watch?v=NUsoVlDFqZg
e-ORhEE9VVg,Blank Space,Taylor Swift,Pop music,Exciting,"Singing, Drum machine, Synthesizer, Sampler, Drum kit, Keyboard","Empowerment, Relationships","Quarantine, Celebrations",English,2010s,Taylor Swift fans,95.33898305 BPM,"The song 'Blank Space' by Taylor Swift showcases themes of empowerment and relationships, characterized by an exciting pop sound. It features various instruments including singing, drum machines, and synthesizers, appealing to a wide audience, particularly fans of Taylor Swift. The song has gained renewed attention following Taylor's acquisition of her music rights.",https://www.youtube.com/watch?v=e-ORhEE9VVg
nfWlot6h_JM,Shake It Off,Taylor Swift,Pop music,Uplifting,"Singing, Drum kit, Synthesizer",Overcoming negativity,"Study motivation, Celebration",English,2010s,"Young adults, Students",80.35714286 BPM,"A catchy pop anthem encouraging listeners to shake off negativity and embrace positivity, often associated with uplifting moments and motivation during challenging times.",https://www.youtube.com/watch?v=nfWlot6h_JM
wnJ6LuUFpMo,Mi Gente,"J Balvin, Willy William",Afrobeat,Energetic,"Drum, Synthesizer, Bass drum",Unity and celebration,"Party, Dance",Spanish,,Global music lovers,140.625 BPM,"A vibrant and infectious track that transcends language barriers, celebrating unity and joy through its energetic beat and catchy rhythm.",https://www.youtube.com/watch?v=wnJ6LuUFpMo
kffacxfA7G4,Baby,Justin Bieber,Pop music,Nostalgic,"Singing, Acoustic guitar, Ukulele",Young love,"Quarantine listening, Nostalgic moments",English,2010s,Teens and young adults,130.81 BPM,"A nostalgic pop song that reflects on young love and memories, often associated with fun and carefree moments. The song has a catchy melody and has remained popular over the years, despite mixed reactions regarding its like-dislike ratio.",https://www.youtube.com/watch?v=kffacxfA7G4
3AtDnEC4zak,We Don't Talk Anymore,Charlie Puth,Rhythm and blues,Nostalgic,Guitar,Lost love and nostalgia,Late night listening,English,2010s,Young adults,100.4464286,A melancholic song reflecting on lost relationships and the feelings of missing someone you no longer communicate with.,https://www.youtube.com/watch?v=3AtDnEC4zak
PT2_F-1esPk,Closer,The Chainsmokers,Pop music,Nostalgic,"Synthesizer, Keyboard, Piano, Drum kit, Guitar",Love and relationships,"Casual listening, Parties",English,2010s,"Young adults, Teens",95.34,"A catchy pop song featuring themes of love and nostalgia, often associated with carefree moments and youthful experiences.",https://www.youtube.com/watch?v=PT2_F-1esPk
YQHsXMglC9A,Hello,Adele,Pop music,Nostalgic,Piano,Love and longing,,English,,,156.25 BPM,"Adele's 'Hello' evokes feelings of nostalgia and longing, showcasing her powerful vocals accompanied by piano. The song resonates deeply with listeners, often reminding them of past relationships and simpler times.",https://www.youtube.com/watch?v=YQHsXMglC9A
k2qgadSvNyU,New Rules,Dua Lipa,Dance music,Empowering,"Singing, Synthesizer, Drum and bass","Self-empowerment, Breakup advice","Girls' night, Empowerment moments",English,2010s,"Young adults, Fans of pop music",114.8 BPM,"The song 'New Rules' by Dua Lipa is an empowering anthem about setting boundaries and moving on from a toxic relationship. It features a catchy dance beat and showcases themes of self-empowerment and resilience, resonating with listeners who appreciate its relatable lyrics and upbeat vibe.",https://www.youtube.com/watch?v=k2qgadSvNyU
pXRviuL6vMY,Stressed Out,twenty one pilots,Pop music,Nostalgic,"Singing, Sampler, Synthesizer, Keyboard, Drum kit, Bass drum","Nostalgia, Stress, Growing up",,English,2010s,"Young adults, teenagers",170.45454545 BPM,"The song reflects on the pressures of adulthood and the longing for simpler times, resonating deeply with listeners as they grow older and face life's challenges.",https://www.youtube.com/watch?v=pXRviuL6vMY
papuvlVeZg8,Rockabye,Clean Bandit,Reggae,Empowering,"Violin, Cello, Ukulele, Synthesizer","Motherhood, Struggle, Love","Mother's Day, Celebrations","English, Patois",,"Families, Young Adults",102.27,"The song 'Rockabye' celebrates the struggles and sacrifices of single mothers, highlighting their love and dedication to their children. It combines elements of reggae and pop, featuring both English and Jamaican Patois lyrics, creating an empowering anthem for mothers.",https://www.youtube.com/watch?v=papuvlVeZg8
6Mgqbai3fKo,Chantaje,Shakira ft. Maluma,"Afrobeat, Rhythm and blues, Hip hop music, Reggae",,"Singing, Sampler, Synthesizer, Keyboard",,,Spanish,,"Latino community, Shakira fans",102.27 BPM,"The song features a blend of Afrobeat and hip hop influences, showcasing Shakira and Maluma's collaboration that resonates with the Latino community.",https://www.youtube.com/watch?v=6Mgqbai3fKo
fLexgOxsZu0,The Lazy Song,Bruno Mars,Reggae,Relaxed,"Ukulele, Acoustic guitar","Laziness, Leisure",Chilling at home,English,2010s,"Young adults, Children",175.78125,"A light-hearted song about embracing laziness and taking a break from responsibilities, resonating with listeners during times of relaxation and leisure.",https://www.youtube.com/watch?v=fLexgOxsZu0
DiItGE3eAyQ,Con Calma,Daddy Yankee & Snow,Reggae,Exciting,"Drum kit, Synthesizer, Sampler",,"Party, Dance","Spanish, English",,Fans of Reggaeton and Latin music,93.75 BPM,"The song 'Con Calma' features a blend of Reggaeton and exciting rhythms, making it a popular choice for dancing and parties. It has received overwhelming support from fans, achieving significant viewership milestones on YouTube.",https://www.youtube.com/watch?v=DiItGE3eAyQ
1_zgKRBrT0Y,Calma (Remix - Official Video),"Pedro Capó, Farruko",Reggae,"Nostalgic, Happy","Guitar, Keyboard, Synthesizer","Memories, Love, Resilience","Summer, Beach",Spanish,2010s,"Latino community, Young adults",127.84 BPM,"A nostalgic and uplifting song that evokes memories of summer and love, featuring a blend of reggae and happy vibes. It resonates with listeners across Latin America and beyond, often associated with beach occasions.",https://www.youtube.com/watch?v=1_zgKRBrT0Y
uelHwf8o7_U,Love The Way You Lie,Eminem ft. Rihanna,Hip hop music,Nostalgic,"Singing, Sampler, Synthesizer, Keyboard","Love, Domestic Violence",,English,2010s,Fans of classic hip hop and pop music,175.78 BPM,"A powerful collaboration exploring themes of love and domestic violence, celebrated for its lyrical depth and emotional resonance. The song evokes nostalgia and remains relevant, showcasing Eminem's lyrical genius.",https://www.youtube.com/watch?v=uelHwf8o7_U
5GL9JoH4Sws,Work from Home,Fifth Harmony,Pop music,Playful,"Singing, Synthesizer, Drum and bass","Working from home, Relationships","Casual listening, Parties",English,2010s,"Young adults, Fans of pop music",104.16666667 BPM,"The song 'Work from Home' by Fifth Harmony features a playful theme about relationships and working from home, combining elements of pop music with a catchy rhythm. It has gained renewed relevance during the pandemic, resonating with listeners who relate to the concept of remote work.",https://www.youtube.com/watch?v=5GL9JoH4Sws
kOkQ4T5WO9E,This Is What You Came For,"Calvin Harris, Rihanna",Electronic dance music,Nostalgic,"Singing, Drum and bass, Keyboard, Synthesizer",Love and longing,"Summer parties, Nostalgic moments",English,2010s,Fans of pop and electronic music,125 BPM,"A nostalgic electronic dance track featuring Rihanna's vocals and Calvin Harris's production, celebrating love and memorable summer moments.",https://www.youtube.com/watch?v=kOkQ4T5WO9E
2vjPBrBU-TM,Chandelier,Sia,Pop music,Exciting,"Singing, Synthesizer, Drum machine, Piano","Struggle, Celebration",,English,,"General public, Fans of Sia",86.54 BPM,"The song 'Chandelier' by Sia features powerful vocals and a blend of pop and electronic elements. It explores themes of struggle and celebration, resonating with a wide audience. The song's unique sound and impactful lyrics have made it a timeless favorite, often associated with emotional and energetic moments.",https://www.youtube.com/watch?v=2vjPBrBU-TM
7wtfhZwyrcc,Believer,Imagine Dragons,Pop music,Exciting,"Drum, Bass drum, Snare drum, Cymbal, Synthesizer, Keyboard",Overcoming pain and adversity,"Workout, Motivation",English,,"Young adults, Fans of Imagine Dragons",125 BPM,"The song 'Believer' by Imagine Dragons explores themes of pain and resilience, making it relatable for listeners. It features a pop genre with exciting instrumentation, suitable for motivating workouts or personal reflection.",https://www.youtube.com/watch?v=7wtfhZwyrcc
VqEbCxg2bNI,Criminal,Natti Natasha ??Ozuna,"Reggae, Hip hop music","Happy, Nostalgic","Singing, Guitar, Drum","Love, Celebration","Dance, Party",Spanish,2017,"Young adults, Fans of Reggaeton",160.71428571 BPM,"A popular Reggaeton song that combines catchy rhythms and themes of love and celebration, often associated with dancing and nostalgia.",https://www.youtube.com/watch?v=VqEbCxg2bNI
ixkoVwKQaJg,Taki Taki,"DJ Snake ft. Selena Gomez, Ozuna, Cardi B","Afrobeat, Hip hop music","Energetic, Nostalgic","Singing, Flute, Synthesizer","Party, Celebration","Parties, Celebrations","English, Spanish",,"Young adults, Fans of the artists",127.84090909 BPM,"A high-energy collaboration featuring catchy hooks and vibrant beats, blending Afrobeat and hip hop influences, perfect for parties and celebrations.",https://www.youtube.com/watch?v=ixkoVwKQaJg
ApXoWvfEYVU,Sunflower,"Post Malone, Swae Lee",Soundtrack music,uplifting,"Singing, Guitar, Drum machine, Synthesizer, Piano","love, hope","casual listening, movie watching",English,2010s,"young adults, movie fans",181.45 BPM,"A smooth and uplifting song that serves as the main theme for the animated film 'Spider-Man: Into the Spider-Verse'. It resonates with themes of love and hope, making it a favorite among listeners and fans of the movie.",https://www.youtube.com/watch?v=ApXoWvfEYVU
rYEDA3JcQqw,Rolling in the Deep,Adele,Pop music,Nostalgic,"Singing, Guitar, Drum, Orchestra","Heartbreak, Loss","Talent shows, Reminiscing",English,2010s,"General public, Music lovers",104.16666667 BPM,"Adele's 'Rolling in the Deep' is a powerful pop song that evokes feelings of nostalgia and heartbreak. It features a blend of instruments including guitar and drums, and is often associated with talent shows and personal memories. Released in the early 2010s, it remains a beloved classic that resonates with listeners of all ages.",https://www.youtube.com/watch?v=rYEDA3JcQqw
7PCkvCPvDXk,All About That Bass,Meghan Trainor,Pop music,Nostalgic,"Bass guitar, Synthesizer, Drum and bass","Body positivity, Self-acceptance","Casual listening, Dance party",English,2010s,"Young adults, Teens",89.28571429 BPM,"The song promotes body positivity and self-acceptance, encouraging listeners to embrace their bodies regardless of societal standards. It has a catchy pop sound with a nostalgic feel, often associated with fun and carefree moments from the past.",https://www.youtube.com/watch?v=7PCkvCPvDXk
rtOvBOTyX00,A Thousand Years,Christina Perri,Tender music,Sad,"Piano, Cello, Guitar, Violin, Orchestra","Love, Loss, Longing","Weddings, Funerals",English,,"Couples, Grieving individuals",140.625 BPM,"A heartfelt ballad that expresses enduring love and the pain of loss, often associated with significant life events like weddings and funerals.",https://www.youtube.com/watch?v=rtOvBOTyX00
ALZHF5UqnU4,Alone,Marshmello,Electronic dance music,Nostalgic,"Synthesizer, Keyboard, Piano, Guitar, Bass guitar","Loneliness, Memories","Parties, Reminiscing",English,2010s,"Young adults, EDM fans",140.625 BPM,"A nostalgic electronic dance music track that resonates with listeners' memories and emotions, often associated with feelings of loneliness and reflection.",https://www.youtube.com/watch?v=ALZHF5UqnU4
34Na4j8AVgA,Starboy,The Weeknd,Pop music,Exciting,Synthesizer,Success and fame,,English,,,125 BPM,"The song explores themes of fame and success, featuring a blend of electronic and pop elements, with a catchy melody that has grown on listeners over time.",https://www.youtube.com/watch?v=34Na4j8AVgA
PIh2xe4jnpk,Rude,MAGIC!,Reggae,Nostalgic,Guitar,Love and Rejection,Casual Listening,English,2010s,Young Adults,144 BPM,"The song 'Rude' by MAGIC! explores themes of love and rejection, featuring a catchy reggae-inspired melody that evokes nostalgia among listeners. It has become a timeless favorite, often associated with memories from the 2010s.",https://www.youtube.com/watch?v=PIh2xe4jnpk
t4H_Zoh7G5A,On The Floor,Jennifer Lopez,"Dance music, Electronic music, Pop music","Nostalgic, Energetic, Fun","Singing, Synthesizer, Keyboard (musical)","Celebration, Party, Nostalgia","Parties, Nightclubs, Celebrations","English, Spanish",2010s,"Young adults, Party-goers, Fans of pop music",130.81395349 BPM,"A high-energy dance track featuring Jennifer Lopez and Pitbull, celebrated for its catchy beat and nostalgic appeal, often played in clubs and parties.",https://www.youtube.com/watch?v=t4H_Zoh7G5A
GMFewiplIbw,Mayores,"Becky G, Bad Bunny","Afrobeat, Reggae, Funk, Music of Latin America","nostalgic, celebratory","Singing, Guitar, Synthesizer, Maraca","sugar daddies, relationships, nostalgia","parties, celebrations",Spanish,modern,"young adults, Latin American listeners",96.98 BPM,"A catchy song that celebrates relationships with older partners, evoking nostalgia and a sense of fun, often played at parties and gatherings.",https://www.youtube.com/watch?v=GMFewiplIbw
lY2yjAdbvdQ,Treat You Better,Shawn Mendes,Pop music,Nostalgic,"Guitar, Drum kit, Bass drum, Snare drum, Cymbal, Acoustic guitar, Synthesizer","Unrequited love, Self-worth","Listening for comfort, Reflection",English,2010s,"Young adults, Fans of Shawn Mendes",110.29411765 BPM,"The song explores themes of unrequited love and self-worth, with a nostalgic vibe that resonates with listeners reflecting on past relationships.",https://www.youtube.com/watch?v=lY2yjAdbvdQ
450p7goxZqg,All of Me,John Legend,Tender music,Nostalgic,"Piano, Acoustic guitar",Unconditional love,"Weddings, Romantic moments",English,2010s,"Couples, Music lovers",119.68 BPM,"A heartfelt ballad celebrating unconditional love and the beauty of imperfections in a partner, often associated with romantic occasions like weddings.",https://www.youtube.com/watch?v=450p7goxZqg
9jI-z9QN6g8,Te Bote Remix,"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna",Afrobeat,nostalgic,Guitar,heartbreak,party,Spanish,2010s,young adults,127.8409091,"The song reflects on past relationships and nostalgia, resonating with listeners who remember happier times. It features a blend of urban and Afrobeat influences, making it a popular choice for parties.",https://www.youtube.com/watch?v=9jI-z9QN6g8
kXYiU_JCYtU,Numb (Official Music Video) [4K UPGRADE],Linkin Park,Rock music,"Nostalgic, Emotional","Singing, Guitar, Drum kit","Loss, Legacy, Remembrance","Memorial, Reflection",English,2000s,"Fans of Linkin Park, Rock music enthusiasts",110.2941177,"A powerful rock anthem reflecting on personal struggles and the impact of loss, celebrated for its emotional depth and Chester Bennington's iconic vocal performance.",https://www.youtube.com/watch?v=kXYiU_JCYtU
8UVNT4wvIGY,Somebody That I Used To Know,Gotye,Soul music,Nostalgic,"Guitar, Violin, Cello, Drum","Heartbreak, Relationships",,English,2010s,"Young adults, Adults",127.8409091,"The song explores themes of heartbreak and the complexities of relationships, resonating with listeners who reflect on past connections and feelings of nostalgia.",https://www.youtube.com/watch?v=8UVNT4wvIGY
KQ6zr6kCPj8,Party Rock Anthem,LMFAO,Electronic dance music,"Nostalgic, Energetic, Fun","Singing, Sampler, Synthesizer, Drum machine","Party, Celebration, Good Times","Parties, Dance Events, Nostalgic Gatherings",English,2010s,"Young Adults, Nostalgia Seekers",130.81395349 BPM,"A high-energy dance anthem that captures the spirit of partying and celebration, evoking nostalgia for the early 2010s. The song remains popular for its catchy beat and memorable lyrics, often associated with fun and carefree moments.",https://www.youtube.com/watch?v=KQ6zr6kCPj8
IcrbM1l_BoI,Wake Me Up,Avicii,Electronic music,Nostalgic,Acoustic guitar,Life and struggles,,English,2010s,Fans of Avicii and electronic music,125 BPM,"A nostalgic and emotional song that reflects on life, struggles, and the impact of the artist, Avicii, who is remembered fondly by fans.",https://www.youtube.com/watch?v=IcrbM1l_BoI
TyHvyGVs42U,?chame La Culpa,"Luis Fonsi, Demi Lovato",Afrobeat,upbeat,"Singing, Drum and bass","relationship, blame","party, celebration","Spanish, English",,"general listeners, fans of pop music",127.8409091,"The song features a lively collaboration between Luis Fonsi and Demi Lovato, blending upbeat Afrobeat rhythms with themes of relationship dynamics and self-blame. It showcases strong vocal performances, particularly from Demi, and resonates with audiences despite language barriers.",https://www.youtube.com/watch?v=TyHvyGVs42U
lWA2pjMjpBs,Diamonds,Rihanna,Pop music,uplifting,"Piano, Synthesizer, Drum","beauty, love, positivity",,English,2010s,general public,92.21311475 BPM,"A powerful and uplifting song that celebrates beauty and love, characterized by its memorable lyrics and a blend of pop and electronic elements.",https://www.youtube.com/watch?v=lWA2pjMjpBs
w2C6RhQBYlg,No Me Conoce (Remix),"Jhay Cortez, J. Balvin, Bad Bunny","Reggae, Hip hop music","Energetic, Nostalgic","Drum and bass, Brass instrument, Synthesizer","Love, Party","Parties, Celebrations",Spanish,2019,"Young adults, Fans of Latin music",92.21311475,"A popular remix that blends reggae and hip hop elements, celebrated for its energetic vibe and nostalgic references, making it a favorite at parties and among young adults.",https://www.youtube.com/watch?v=w2C6RhQBYlg
PMivT7MJ41M,That?�s What I Like,Bruno Mars,"Rhythm and blues, Hip hop music, Pop music, Funk",Exciting,"Singing, Sampler, Synthesizer, Keyboard","Wealth, Enjoyment, Love","Party, Celebration",English,2010s,"General public, Fans of Bruno Mars",133.93 BPM,"The song celebrates wealth and enjoyment, featuring catchy beats and vibrant instrumentation, making it a popular choice for parties and celebrations.",https://www.youtube.com/watch?v=PMivT7MJ41M
FM7MFYoylVs,Something Just Like This,The Chainsmokers & Coldplay,Electronic music,Nostalgic,"Guitar, Synthesizer, Keyboard","Memories, Hope, Love","Relaxation, Reflection",English,2010s,"Young adults, Nostalgia seekers",102.27272727 BPM,"A nostalgic song that evokes memories and emotions, often associated with love and hope, featuring a blend of electronic and acoustic instruments.",https://www.youtube.com/watch?v=FM7MFYoylVs
5qm8PH4xAss,In Da Club,50 Cent,Hip hop music,Celebratory,"Drum machine, Drum kit, Synthesizer, Bass drum","Celebration, Birthdays, Nostalgia","Parties, Clubs, Birthdays",English,2000s,"General public, Club-goers, Nostalgic listeners",122.2826087 BPM,"A classic hip hop anthem celebrating life, parties, and birthdays, known for its iconic beat and lasting popularity over the years.",https://www.youtube.com/watch?v=5qm8PH4xAss
AJtDXIazrMo,Love Me Like You Do,Ellie Goulding,Pop music,Nostalgic,"Singing, Keyboard, Synthesizer, Orchestra",Love,"Romantic moments, Movie scenes",English,2010s,"Young adults, Fans of romantic music",95.33898305,"A romantic pop song that evokes nostalgia and is often associated with love and significant moments, particularly from the movie 'Fifty Shades of Grey'.",https://www.youtube.com/watch?v=AJtDXIazrMo
YBHQbu5rbdQ,Worth It,Fifth Harmony,Pop music,Exciting,"Saxophone, Synthesizer","Self-worth, Confidence","Party, Celebration",English,2010s,"Young adults, Fans of girl groups",100.4464286,"The song 'Worth It' by Fifth Harmony features a blend of pop and hip hop elements, characterized by an exciting mood and themes of self-worth and confidence. It is often associated with party and celebration occasions, appealing primarily to young adults and fans of girl groups.",https://www.youtube.com/watch?v=YBHQbu5rbdQ
SXiSVQZLje8,Side To Side,Ariana Grande ft. Nicki Minaj,Pop music,Exciting,"Singing, Sampler, Synthesizer",,"Gym, Summer",English,2010s,Fans of Ariana Grande and Nicki Minaj,79.22535211,"Ariana Grande and Nicki Minaj collaborate in this upbeat pop track that evokes memories of summer 2016 and inspires listeners to enjoy workouts, often humorously referenced in comments about pizza and gym experiences.",https://www.youtube.com/watch?v=SXiSVQZLje8
hLQl3WQQoQ0,Someone Like You,Adele,Sad music,Bittersweet,Piano,Lost love,Heartbreak,English,,People experiencing heartbreak,137.195122,"Adele's 'Someone Like You' is a poignant ballad that explores themes of lost love and heartbreak, characterized by its simple yet powerful piano accompaniment and emotional vocal delivery. The song resonates deeply with listeners, evoking feelings of nostalgia and sadness.",https://www.youtube.com/watch?v=hLQl3WQQoQ0
IHNzOHi8sJs,?��??��? (DDU-DU DDU-DU),BLACKPINK,Pop music,Energetic,"Drum and bass, Synthesizer, Keyboard","Empowerment, Confidence","Party, Dance","Korean, English",2010s,"K-pop fans, Young adults",140.625 BPM,"A high-energy K-pop track characterized by its catchy hooks and powerful beats, featuring a blend of pop and hip-hop elements. The song celebrates confidence and empowerment, making it a favorite for dance performances and party settings.",https://www.youtube.com/watch?v=IHNzOHi8sJs
_I_D_8Z4sJE,X (EQUIS),Nicky Jam x J. Balvin,"Afrobeat, Reggae, Hip hop music","Energetic, Nostalgic","Singing, Ukulele, Brass instrument, Saxophone, Synthesizer, Trumpet","Celebration, Love","Party, Dance","Spanish, Portuguese",Contemporary,Fans of Reggaeton and Latin music,181.4516129 BPM,"A vibrant and energetic collaboration that blends Afrobeat and Reggaeton, celebrating love and good times, resonating with fans across different cultures.",https://www.youtube.com/watch?v=_I_D_8Z4sJE
DK_0jXPuIr0,What Do You Mean?,Justin Bieber,Rhythm and blues,nostalgic,"Guitar, Keyboard (musical), Piano, Synthesizer, Drum",love and relationships,,English,2010s,young adults,125,"The song reflects on themes of love and confusion in relationships, resonating with listeners for its smooth vocals and timeless vibe, often evoking nostalgia for the mid-2010s.",https://www.youtube.com/watch?v=DK_0jXPuIr0
8SbUC-UaAxE,November Rain,Guns N' Roses,Rock music,Emotional,"Guitar, Piano, Orchestra","Love, Loss, Reflection","Funeral, Wedding",English,1990s,"General public, Fans of rock music",79.225 BPM,"A powerful rock ballad that explores themes of love, loss, and the passage of time, characterized by emotional lyrics and orchestral arrangements.",https://www.youtube.com/watch?v=8SbUC-UaAxE
QFs3PIZb3js,Propuesta Indecente,Romeo Santos,Bachata,Romantic,Guitar,Love and seduction,"Dance party, Romantic date",Spanish,2010s,"Young adults, Latin music fans",122.2826087,"A romantic bachata song that captures the essence of love and seduction, often played at dance parties and romantic occasions.",https://www.youtube.com/watch?v=QFs3PIZb3js
